L1,L2,L3,Count of JOB
main_0,sub_0_0,deep_0_0_0,8
main_0,sub_0_0,deep_0_0_1,6
main_0,sub_0_0,deep_0_0_10,6
main_0,sub_0_0,deep_0_0_11,4
main_0,sub_0_0,deep_0_0_12,14
main_0,sub_0_0,deep_0_0_13,12
main_0,sub_0_0,deep_0_0_14,14
main_0,sub_0_0,deep_0_0_15,4
main_0,sub_0_0,deep_0_0_16,4
main_0,sub_0_0,deep_0_0_17,8
main_0,sub_0_0,deep_0_0_18,18
main_0,sub_0_0,deep_0_0_19,10
main_0,sub_0_0,deep_0_0_2,4
main_0,sub_0_0,deep_0_0_20,10
main_0,sub_0_0,deep_0_0_21,12
main_0,sub_0_0,deep_0_0_22,12
main_0,sub_0_0,deep_0_0_23,4
main_0,sub_0_0,deep_0_0_24,10
main_0,sub_0_0,deep_0_0_25,12
main_0,sub_0_0,deep_0_0_26,6
main_0,sub_0_0,deep_0_0_27,14
main_0,sub_0_0,deep_0_0_28,6
main_0,sub_0_0,deep_0_0_29,8
main_0,sub_0_0,deep_0_0_3,14
main_0,sub_0_0,deep_0_0_30,8
main_0,sub_0_0,deep_0_0_31,6
main_0,sub_0_0,deep_0_0_32,12
main_0,sub_0_0,deep_0_0_33,4
main_0,sub_0_0,deep_0_0_34,18
main_0,sub_0_0,deep_0_0_35,14
main_0,sub_0_0,deep_0_0_36,4
main_0,sub_0_0,deep_0_0_37,16
main_0,sub_0_0,deep_0_0_38,12
main_0,sub_0_0,deep_0_0_39,4
main_0,sub_0_0,deep_0_0_4,16
main_0,sub_0_0,deep_0_0_40,16
main_0,sub_0_0,deep_0_0_41,16
main_0,sub_0_0,deep_0_0_42,18
main_0,sub_0_0,deep_0_0_43,16
main_0,sub_0_0,deep_0_0_44,8
main_0,sub_0_0,deep_0_0_45,12
main_0,sub_0_0,deep_0_0_46,16
main_0,sub_0_0,deep_0_0_47,16
main_0,sub_0_0,deep_0_0_48,10
main_0,sub_0_0,deep_0_0_49,4
main_0,sub_0_0,deep_0_0_5,10
main_0,sub_0_0,deep_0_0_6,2
main_0,sub_0_0,deep_0_0_7,10
main_0,sub_0_0,deep_0_0_8,2
main_0,sub_0_0,deep_0_0_9,6
main_0,sub_0_1,deep_0_1_0,10
main_0,sub_0_1,deep_0_1_1,10
main_0,sub_0_1,deep_0_1_10,10
main_0,sub_0_1,deep_0_1_11,16
main_0,sub_0_1,deep_0_1_12,14
main_0,sub_0_1,deep_0_1_13,8
main_0,sub_0_1,deep_0_1_14,2
main_0,sub_0_1,deep_0_1_15,4
main_0,sub_0_1,deep_0_1_16,12
main_0,sub_0_1,deep_0_1_17,6
main_0,sub_0_1,deep_0_1_18,14
main_0,sub_0_1,deep_0_1_19,6
main_0,sub_0_1,deep_0_1_2,2
main_0,sub_0_1,deep_0_1_20,8
main_0,sub_0_1,deep_0_1_21,2
main_0,sub_0_1,deep_0_1_22,12
main_0,sub_0_1,deep_0_1_23,18
main_0,sub_0_1,deep_0_1_24,14
main_0,sub_0_1,deep_0_1_25,8
main_0,sub_0_1,deep_0_1_26,10
main_0,sub_0_1,deep_0_1_27,16
main_0,sub_0_1,deep_0_1_28,4
main_0,sub_0_1,deep_0_1_29,16
main_0,sub_0_1,deep_0_1_3,12
main_0,sub_0_1,deep_0_1_30,12
main_0,sub_0_1,deep_0_1_31,18
main_0,sub_0_1,deep_0_1_32,8
main_0,sub_0_1,deep_0_1_33,6
main_0,sub_0_1,deep_0_1_34,12
main_0,sub_0_1,deep_0_1_35,2
main_0,sub_0_1,deep_0_1_36,4
main_0,sub_0_1,deep_0_1_37,8
main_0,sub_0_1,deep_0_1_38,12
main_0,sub_0_1,deep_0_1_39,4
main_0,sub_0_1,deep_0_1_4,8
main_0,sub_0_1,deep_0_1_40,16
main_0,sub_0_1,deep_0_1_41,8
main_0,sub_0_1,deep_0_1_42,8
main_0,sub_0_1,deep_0_1_43,18
main_0,sub_0_1,deep_0_1_44,18
main_0,sub_0_1,deep_0_1_45,4
main_0,sub_0_1,deep_0_1_46,10
main_0,sub_0_1,deep_0_1_47,18
main_0,sub_0_1,deep_0_1_48,4
main_0,sub_0_1,deep_0_1_49,12
main_0,sub_0_1,deep_0_1_5,10
main_0,sub_0_1,deep_0_1_6,12
main_0,sub_0_1,deep_0_1_7,14
main_0,sub_0_1,deep_0_1_8,14
main_0,sub_0_1,deep_0_1_9,10
main_0,sub_0_10,deep_0_10_0,16
main_0,sub_0_10,deep_0_10_1,10
