L1,L2,Count of JOB
main_0,sub_0_0,496
main_0,sub_0_1,504
main_0,sub_0_10,536
main_0,sub_0_11,458
main_0,sub_0_12,428
main_0,sub_0_13,418
main_0,sub_0_14,420
main_0,sub_0_15,536
main_0,sub_0_16,516
main_0,sub_0_17,542
main_0,sub_0_18,528
main_0,sub_0_19,478
main_0,sub_0_2,494
main_0,sub_0_3,528
main_0,sub_0_4,480
main_0,sub_0_5,458
main_0,sub_0_6,450
main_0,sub_0_7,468
main_0,sub_0_8,510
main_0,sub_0_9,460
main_1,sub_1_0,510
main_1,sub_1_1,440
main_1,sub_1_10,552
main_1,sub_1_11,478
main_1,sub_1_12,464
main_1,sub_1_13,486
main_1,sub_1_14,436
main_1,sub_1_15,522
main_1,sub_1_16,474
main_1,sub_1_17,482
main_1,sub_1_18,464
main_1,sub_1_19,470
main_1,sub_1_2,560
main_1,sub_1_3,472
main_1,sub_1_4,478
main_1,sub_1_5,488
main_1,sub_1_6,432
main_1,sub_1_7,552
main_1,sub_1_8,460
main_1,sub_1_9,570
main_2,sub_2_0,484
main_2,sub_2_1,490
main_2,sub_2_10,470
main_2,sub_2_11,506
main_2,sub_2_12,524
main_2,sub_2_13,510
main_2,sub_2_14,420
main_2,sub_2_15,524
main_2,sub_2_16,458
main_2,sub_2_17,484
main_2,sub_2_18,482
main_2,sub_2_19,524
main_2,sub_2_2,546
main_2,sub_2_3,492
main_2,sub_2_4,486
main_2,sub_2_5,476
main_2,sub_2_6,476
main_2,sub_2_7,638
main_2,sub_2_8,442
main_2,sub_2_9,486
main_3,sub_3_0,522
main_3,sub_3_1,478
main_3,sub_3_10,466
main_3,sub_3_11,562
main_3,sub_3_12,538
main_3,sub_3_13,558
main_3,sub_3_14,484
main_3,sub_3_15,518
main_3,sub_3_16,496
main_3,sub_3_17,458
main_3,sub_3_18,420
main_3,sub_3_19,558
main_3,sub_3_2,538
main_3,sub_3_3,500
main_3,sub_3_4,500
main_3,sub_3_5,554
main_3,sub_3_6,514
main_3,sub_3_7,554
main_3,sub_3_8,534
main_3,sub_3_9,466
main_4,sub_4_0,522
main_4,sub_4_1,490
main_4,sub_4_10,526
main_4,sub_4_11,492
main_4,sub_4_12,526
main_4,sub_4_13,434
main_4,sub_4_14,476
main_4,sub_4_15,538
main_4,sub_4_16,458
main_4,sub_4_17,498
main_4,sub_4_18,512
main_4,sub_4_19,500
main_4,sub_4_2,526
main_4,sub_4_3,500
main_4,sub_4_4,532
main_4,sub_4_5,578
main_4,sub_4_6,500
main_4,sub_4_7,536
main_4,sub_4_8,496
main_4,sub_4_9,488
main_5,sub_5_0,462
main_5,sub_5_1,552
main_5,sub_5_10,534
main_5,sub_5_11,478
main_5,sub_5_12,500
main_5,sub_5_13,536
main_5,sub_5_14,536
main_5,sub_5_15,524
main_5,sub_5_16,502
main_5,sub_5_17,550
main_5,sub_5_18,502
main_5,sub_5_19,494
main_5,sub_5_2,448
main_5,sub_5_3,510
main_5,sub_5_4,466
main_5,sub_5_5,510
main_5,sub_5_6,564
main_5,sub_5_7,432
main_5,sub_5_8,498
main_5,sub_5_9,532
main_6,sub_6_0,518
main_6,sub_6_1,526
main_6,sub_6_10,490
main_6,sub_6_11,470
main_6,sub_6_12,522
main_6,sub_6_13,496
main_6,sub_6_14,468
main_6,sub_6_15,526
main_6,sub_6_16,598
main_6,sub_6_17,572
main_6,sub_6_18,514
main_6,sub_6_19,510
main_6,sub_6_2,498
main_6,sub_6_3,498
main_6,sub_6_4,462
main_6,sub_6_5,502
main_6,sub_6_6,522
main_6,sub_6_7,480
main_6,sub_6_8,530
main_6,sub_6_9,510
main_7,sub_7_0,516
main_7,sub_7_1,554
main_7,sub_7_10,456
main_7,sub_7_11,534
main_7,sub_7_12,438
main_7,sub_7_13,540
main_7,sub_7_14,474
main_7,sub_7_15,528
main_7,sub_7_16,452
main_7,sub_7_17,438
main_7,sub_7_18,496
main_7,sub_7_19,492
main_7,sub_7_2,542
main_7,sub_7_3,544
main_7,sub_7_4,530
main_7,sub_7_5,534
main_7,sub_7_6,538
main_7,sub_7_7,484
main_7,sub_7_8,440
main_7,sub_7_9,576
main_8,sub_8_0,450
main_8,sub_8_1,520
main_8,sub_8_10,544
main_8,sub_8_11,446
main_8,sub_8_12,494
main_8,sub_8_13,486
main_8,sub_8_14,502
main_8,sub_8_15,482
main_8,sub_8_16,574
main_8,sub_8_17,510
main_8,sub_8_18,436
main_8,sub_8_19,556
main_8,sub_8_2,498
main_8,sub_8_3,578
main_8,sub_8_4,506
main_8,sub_8_5,516
main_8,sub_8_6,500
main_8,sub_8_7,454
main_8,sub_8_8,508
main_8,sub_8_9,556
main_9,sub_9_0,430
main_9,sub_9_1,458
main_9,sub_9_10,502
main_9,sub_9_11,448
main_9,sub_9_12,592
main_9,sub_9_13,544
main_9,sub_9_14,518
main_9,sub_9_15,480
main_9,sub_9_16,508
main_9,sub_9_17,474
main_9,sub_9_18,440
main_9,sub_9_19,504
main_9,sub_9_2,470
main_9,sub_9_3,436
main_9,sub_9_4,460
main_9,sub_9_5,496
main_9,sub_9_6,456
main_9,sub_9_7,468
main_9,sub_9_8,480
main_9,sub_9_9,510
