TICKET,MAIN,SUB,DEEP
case_3333,main_0,sub_0,deep_0
case_7777,main_0,sub_0,deep_0
case_38434,main_0,sub_0,deep_0
case_10755,main_0,sub_0,deep_0
case_7945,main_0,sub_0,deep_0
case_44679,main_0,sub_0,deep_0
case_5274,main_0,sub_0,deep_1
case_26454,main_0,sub_0,deep_1
case_6996,main_0,sub_0,deep_1
case_65493,main_0,sub_0,deep_1
case_6057,main_0,sub_0,deep_2
case_14207,main_0,sub_0,deep_2
case_60431,main_0,sub_0,deep_2
case_16789,main_0,sub_0,deep_2
case_24008,main_0,sub_0,deep_2
case_41877,main_0,sub_0,deep_2
case_27403,main_0,sub_1,deep_0
case_77665,main_0,sub_1,deep_0
case_10496,main_0,sub_1,deep_0
case_37578,main_0,sub_1,deep_0
case_4004,main_0,sub_1,deep_0
case_69937,main_0,sub_1,deep_0
case_12757,main_0,sub_1,deep_1
case_72971,main_0,sub_1,deep_1
case_17492,main_0,sub_1,deep_1
case_24991,main_0,sub_1,deep_1
case_55975,main_0,sub_1,deep_1
case_1973,main_0,sub_1,deep_1
case_64498,main_0,sub_1,deep_2
case_76338,main_0,sub_1,deep_2
case_42700,main_0,sub_2,deep_0
case_44018,main_0,sub_2,deep_0
case_22284,main_0,sub_2,deep_0
case_49338,main_0,sub_2,deep_0
case_40927,main_0,sub_2,deep_0
case_1234,main_0,sub_2,deep_0
case_677,main_0,sub_2,deep_1
case_1665,main_0,sub_2,deep_1
case_76342,main_0,sub_2,deep_1
case_71058,main_0,sub_2,deep_1
case_26955,main_0,sub_2,deep_2
case_23465,main_0,sub_2,deep_2
case_27878,main_1,sub_0,deep_0
case_41822,main_1,sub_0,deep_0
case_14930,main_1,sub_0,deep_1
case_45755,main_1,sub_0,deep_1
case_25419,main_1,sub_0,deep_1
case_16491,main_1,sub_0,deep_1
case_23618,main_1,sub_0,deep_2
case_15067,main_1,sub_0,deep_2
case_60065,main_1,sub_0,deep_2
case_5322,main_1,sub_0,deep_2
case_32814,main_1,sub_1,deep_0
case_71467,main_1,sub_1,deep_0
case_48913,main_1,sub_1,deep_1
case_28951,main_1,sub_1,deep_1
case_62587,main_1,sub_1,deep_1
case_57640,main_1,sub_1,deep_1
case_13714,main_1,sub_1,deep_2
case_10095,main_1,sub_1,deep_2
case_14704,main_1,sub_1,deep_2
case_44560,main_1,sub_1,deep_2
case_17890,main_1,sub_2,deep_0
case_45610,main_1,sub_2,deep_0
case_10216,main_1,sub_2,deep_0
case_69007,main_1,sub_2,deep_0
case_1880,main_1,sub_2,deep_0
case_7545,main_1,sub_2,deep_0
case_163,main_1,sub_2,deep_1
case_19536,main_1,sub_2,deep_1
case_17332,main_1,sub_2,deep_1
case_8704,main_1,sub_2,deep_1
case_12104,main_1,sub_2,deep_1
case_19553,main_1,sub_2,deep_1
case_5884,main_1,sub_2,deep_2
case_48460,main_1,sub_2,deep_2
case_36077,main_1,sub_2,deep_2
case_9780,main_1,sub_2,deep_2
case_47735,main_1,sub_2,deep_2
case_27312,main_1,sub_2,deep_2
case_3306,main_2,sub_0,deep_0
case_51774,main_2,sub_0,deep_0
case_71785,main_2,sub_0,deep_0
case_77102,main_2,sub_0,deep_0
case_39605,main_2,sub_0,deep_1
case_36184,main_2,sub_0,deep_1
case_21783,main_2,sub_0,deep_2
case_33844,main_2,sub_0,deep_2
case_57553,main_2,sub_1,deep_0
case_40075,main_2,sub_1,deep_0
case_65289,main_2,sub_1,deep_0
case_62664,main_2,sub_1,deep_0
case_41950,main_2,sub_1,deep_1
case_48759,main_2,sub_1,deep_1
case_34183,main_2,sub_1,deep_1
case_33127,main_2,sub_1,deep_1
case_11053,main_2,sub_1,deep_2
case_9687,main_2,sub_1,deep_2
case_49193,main_2,sub_1,deep_2
case_70590,main_2,sub_1,deep_2
case_46457,main_2,sub_2,deep_0
case_49770,main_2,sub_2,deep_0
case_27596,main_2,sub_2,deep_0
case_64052,main_2,sub_2,deep_0
case_55415,main_2,sub_2,deep_0
case_53264,main_2,sub_2,deep_0
case_7426,main_2,sub_2,deep_1
case_62706,main_2,sub_2,deep_1
case_42522,main_2,sub_2,deep_2
case_3489,main_2,sub_2,deep_2
