JOB,L1,L2,L3
job_333,main_0,sub_0,deep_0
job_777,main_0,sub_0,deep_0
case_207,main_0,sub_0_0,deep_0_0_0
case_728,main_0,sub_0_0,deep_0_0_0
case_195,main_0,sub_0_0,deep_0_0_0
case_114,main_0,sub_0_0,deep_0_0_0
case_615,main_0,sub_0_0,deep_0_0_0
case_704,main_0,sub_0_0,deep_0_0_0
case_77,main_0,sub_0_0,deep_0_0_0
case_300,main_0,sub_0_0,deep_0_0_0
case_751,main_0,sub_0_0,deep_0_0_1
case_767,main_0,sub_0_0,deep_0_0_1
case_19,main_0,sub_0_0,deep_0_0_1
case_232,main_0,sub_0_0,deep_0_0_1
case_418,main_0,sub_0_0,deep_0_0_1
case_695,main_0,sub_0_0,deep_0_0_1
case_171,main_0,sub_0_0,deep_0_0_2
case_590,main_0,sub_0_0,deep_0_0_2
case_666,main_0,sub_0_0,deep_0_0_2
case_393,main_0,sub_0_0,deep_0_0_2
case_608,main_0,sub_0_0,deep_0_0_3
case_576,main_0,sub_0_0,deep_0_0_3
case_774,main_0,sub_0_0,deep_0_0_3
case_251,main_0,sub_0_0,deep_0_0_3
case_716,main_0,sub_0_0,deep_0_0_3
case_484,main_0,sub_0_0,deep_0_0_3
case_379,main_0,sub_0_0,deep_0_0_3
case_311,main_0,sub_0_0,deep_0_0_3
case_377,main_0,sub_0_0,deep_0_0_3
case_38,main_0,sub_0_0,deep_0_0_3
case_449,main_0,sub_0_0,deep_0_0_3
case_322,main_0,sub_0_0,deep_0_0_3
case_498,main_0,sub_0_0,deep_0_0_3
case_57,main_0,sub_0_0,deep_0_0_3
case_305,main_0,sub_0_0,deep_0_0_4
case_116,main_0,sub_0_0,deep_0_0_4
case_419,main_0,sub_0_0,deep_0_0_4
case_707,main_0,sub_0_0,deep_0_0_4
case_320,main_0,sub_0_0,deep_0_0_4
case_8,main_0,sub_0_0,deep_0_0_4
case_37,main_0,sub_0_0,deep_0_0_4
case_301,main_0,sub_0_0,deep_0_0_4
case_522,main_0,sub_0_0,deep_0_0_4
case_365,main_0,sub_0_0,deep_0_0_4
case_768,main_0,sub_0_0,deep_0_0_4
case_695,main_0,sub_0_0,deep_0_0_4
case_48,main_0,sub_0_0,deep_0_0_4
case_448,main_0,sub_0_0,deep_0_0_4
case_10,main_0,sub_0_0,deep_0_0_4
case_636,main_0,sub_0_0,deep_0_0_4
case_270,main_0,sub_0_0,deep_0_0_5
case_723,main_0,sub_0_0,deep_0_0_5
case_311,main_0,sub_0_0,deep_0_0_5
case_522,main_0,sub_0_0,deep_0_0_5
case_19,main_0,sub_0_0,deep_0_0_5
case_294,main_0,sub_0_0,deep_0_0_5
case_16,main_0,sub_0_0,deep_0_0_5
case_324,main_0,sub_0_0,deep_0_0_5
case_751,main_0,sub_0_0,deep_0_0_5
case_341,main_0,sub_0_0,deep_0_0_5
case_135,main_0,sub_0_0,deep_0_0_6
case_620,main_0,sub_0_0,deep_0_0_6
case_618,main_0,sub_0_0,deep_0_0_7
case_317,main_0,sub_0_0,deep_0_0_7
case_13,main_0,sub_0_0,deep_0_0_7
case_284,main_0,sub_0_0,deep_0_0_7
case_69,main_0,sub_0_0,deep_0_0_7
case_504,main_0,sub_0_0,deep_0_0_7
case_149,main_0,sub_0_0,deep_0_0_7
case_172,main_0,sub_0_0,deep_0_0_7
case_719,main_0,sub_0_0,deep_0_0_7
case_728,main_0,sub_0_0,deep_0_0_7
case_752,main_0,sub_0_0,deep_0_0_8
case_458,main_0,sub_0_0,deep_0_0_8
case_124,main_0,sub_0_0,deep_0_0_9
case_140,main_0,sub_0_0,deep_0_0_9
case_727,main_0,sub_0_0,deep_0_0_9
case_512,main_0,sub_0_0,deep_0_0_9
case_106,main_0,sub_0_0,deep_0_0_9
case_252,main_0,sub_0_0,deep_0_0_9
case_519,main_0,sub_0_0,deep_0_0_10
case_587,main_0,sub_0_0,deep_0_0_10
case_501,main_0,sub_0_0,deep_0_0_10
case_598,main_0,sub_0_0,deep_0_0_10
case_120,main_0,sub_0_0,deep_0_0_10
case_545,main_0,sub_0_0,deep_0_0_10
case_140,main_0,sub_0_0,deep_0_0_11
case_685,main_0,sub_0_0,deep_0_0_11
case_588,main_0,sub_0_0,deep_0_0_11
case_426,main_0,sub_0_0,deep_0_0_11
case_746,main_0,sub_0_0,deep_0_0_12
case_183,main_0,sub_0_0,deep_0_0_12
case_570,main_0,sub_0_0,deep_0_0_12
case_62,main_0,sub_0_0,deep_0_0_12
case_515,main_0,sub_0_0,deep_0_0_12
case_446,main_0,sub_0_0,deep_0_0_12
case_201,main_0,sub_0_0,deep_0_0_12
case_117,main_0,sub_0_0,deep_0_0_12
case_317,main_0,sub_0_0,deep_0_0_12
case_30,main_0,sub_0_0,deep_0_0_12
case_690,main_0,sub_0_0,deep_0_0_12
case_756,main_0,sub_0_0,deep_0_0_12
case_434,main_0,sub_0_0,deep_0_0_12
case_182,main_0,sub_0_0,deep_0_0_12
case_72,main_0,sub_0_0,deep_0_0_13
case_28,main_0,sub_0_0,deep_0_0_13
case_27,main_0,sub_0_0,deep_0_0_13
case_30,main_0,sub_0_0,deep_0_0_13
case_110,main_0,sub_0_0,deep_0_0_13
case_0,main_0,sub_0_0,deep_0_0_13
case_409,main_0,sub_0_0,deep_0_0_13
case_388,main_0,sub_0_0,deep_0_0_13
case_123,main_0,sub_0_0,deep_0_0_13
case_534,main_0,sub_0_0,deep_0_0_13
case_775,main_0,sub_0_0,deep_0_0_13
case_444,main_0,sub_0_0,deep_0_0_13
case_131,main_0,sub_0_0,deep_0_0_14
case_240,main_0,sub_0_0,deep_0_0_14
case_287,main_0,sub_0_0,deep_0_0_14
case_314,main_0,sub_0_0,deep_0_0_14
case_619,main_0,sub_0_0,deep_0_0_14
case_9,main_0,sub_0_0,deep_0_0_14
case_52,main_0,sub_0_0,deep_0_0_14
case_215,main_0,sub_0_0,deep_0_0_14
case_616,main_0,sub_0_0,deep_0_0_14
case_31,main_0,sub_0_0,deep_0_0_14
case_406,main_0,sub_0_0,deep_0_0_14
case_642,main_0,sub_0_0,deep_0_0_14
case_442,main_0,sub_0_0,deep_0_0_14
case_218,main_0,sub_0_0,deep_0_0_14
case_250,main_0,sub_0_0,deep_0_0_15
case_470,main_0,sub_0_0,deep_0_0_15
case_227,main_0,sub_0_0,deep_0_0_15
case_59,main_0,sub_0_0,deep_0_0_15
case_3,main_0,sub_0_0,deep_0_0_16
case_26,main_0,sub_0_0,deep_0_0_16
case_473,main_0,sub_0_0,deep_0_0_16
case_489,main_0,sub_0_0,deep_0_0_16
case_537,main_0,sub_0_0,deep_0_0_17
case_422,main_0,sub_0_0,deep_0_0_17
case_59,main_0,sub_0_0,deep_0_0_17
case_3,main_0,sub_0_0,deep_0_0_17
case_723,main_0,sub_0_0,deep_0_0_17
case_332,main_0,sub_0_0,deep_0_0_17
case_506,main_0,sub_0_0,deep_0_0_17
case_173,main_0,sub_0_0,deep_0_0_17
case_571,main_0,sub_0_0,deep_0_0_18
case_502,main_0,sub_0_0,deep_0_0_18
case_771,main_0,sub_0_0,deep_0_0_18
case_730,main_0,sub_0_0,deep_0_0_18
case_769,main_0,sub_0_0,deep_0_0_18
case_315,main_0,sub_0_0,deep_0_0_18
case_554,main_0,sub_0_0,deep_0_0_18
case_314,main_0,sub_0_0,deep_0_0_18
case_107,main_0,sub_0_0,deep_0_0_18
case_439,main_0,sub_0_0,deep_0_0_18
case_132,main_0,sub_0_0,deep_0_0_18
case_461,main_0,sub_0_0,deep_0_0_18
case_454,main_0,sub_0_0,deep_0_0_18
case_390,main_0,sub_0_0,deep_0_0_18
case_747,main_0,sub_0_0,deep_0_0_18
case_386,main_0,sub_0_0,deep_0_0_18
case_239,main_0,sub_0_0,deep_0_0_18
case_228,main_0,sub_0_0,deep_0_0_18
case_252,main_0,sub_0_0,deep_0_0_19
case_199,main_0,sub_0_0,deep_0_0_19
case_151,main_0,sub_0_0,deep_0_0_19
case_767,main_0,sub_0_0,deep_0_0_19
case_436,main_0,sub_0_0,deep_0_0_19
case_701,main_0,sub_0_0,deep_0_0_19
case_726,main_0,sub_0_0,deep_0_0_19
case_422,main_0,sub_0_0,deep_0_0_19
case_247,main_0,sub_0_0,deep_0_0_19
case_725,main_0,sub_0_0,deep_0_0_19
case_93,main_0,sub_0_0,deep_0_0_20
case_693,main_0,sub_0_0,deep_0_0_20
case_501,main_0,sub_0_0,deep_0_0_20
case_312,main_0,sub_0_0,deep_0_0_20
case_149,main_0,sub_0_0,deep_0_0_20
case_766,main_0,sub_0_0,deep_0_0_20
case_162,main_0,sub_0_0,deep_0_0_20
case_538,main_0,sub_0_0,deep_0_0_20
case_351,main_0,sub_0_0,deep_0_0_20
case_258,main_0,sub_0_0,deep_0_0_20
case_773,main_0,sub_0_0,deep_0_0_21
case_221,main_0,sub_0_0,deep_0_0_21
case_346,main_0,sub_0_0,deep_0_0_21
case_770,main_0,sub_0_0,deep_0_0_21
case_155,main_0,sub_0_0,deep_0_0_21
case_145,main_0,sub_0_0,deep_0_0_21
case_177,main_0,sub_0_0,deep_0_0_21
case_613,main_0,sub_0_0,deep_0_0_21
case_486,main_0,sub_0_0,deep_0_0_21
case_726,main_0,sub_0_0,deep_0_0_21
case_390,main_0,sub_0_0,deep_0_0_21
case_595,main_0,sub_0_0,deep_0_0_21
case_237,main_0,sub_0_0,deep_0_0_22
case_502,main_0,sub_0_0,deep_0_0_22
case_173,main_0,sub_0_0,deep_0_0_22
case_528,main_0,sub_0_0,deep_0_0_22
case_737,main_0,sub_0_0,deep_0_0_22
case_288,main_0,sub_0_0,deep_0_0_22
case_410,main_0,sub_0_0,deep_0_0_22
case_330,main_0,sub_0_0,deep_0_0_22
case_283,main_0,sub_0_0,deep_0_0_22
case_576,main_0,sub_0_0,deep_0_0_22
case_328,main_0,sub_0_0,deep_0_0_22
case_490,main_0,sub_0_0,deep_0_0_22
case_59,main_0,sub_0_0,deep_0_0_23
case_650,main_0,sub_0_0,deep_0_0_23
case_371,main_0,sub_0_0,deep_0_0_23
case_260,main_0,sub_0_0,deep_0_0_23
case_307,main_0,sub_0_0,deep_0_0_24
case_678,main_0,sub_0_0,deep_0_0_24
case_343,main_0,sub_0_0,deep_0_0_24
case_749,main_0,sub_0_0,deep_0_0_24
case_36,main_0,sub_0_0,deep_0_0_24
case_226,main_0,sub_0_0,deep_0_0_24
case_641,main_0,sub_0_0,deep_0_0_24
case_517,main_0,sub_0_0,deep_0_0_24
case_515,main_0,sub_0_0,deep_0_0_24
case_740,main_0,sub_0_0,deep_0_0_24
case_580,main_0,sub_0_0,deep_0_0_25
case_642,main_0,sub_0_0,deep_0_0_25
case_245,main_0,sub_0_0,deep_0_0_25
case_39,main_0,sub_0_0,deep_0_0_25
case_661,main_0,sub_0_0,deep_0_0_25
case_90,main_0,sub_0_0,deep_0_0_25
case_407,main_0,sub_0_0,deep_0_0_25
case_686,main_0,sub_0_0,deep_0_0_25
case_84,main_0,sub_0_0,deep_0_0_25
case_148,main_0,sub_0_0,deep_0_0_25
case_386,main_0,sub_0_0,deep_0_0_25
case_500,main_0,sub_0_0,deep_0_0_25
case_582,main_0,sub_0_0,deep_0_0_26
case_581,main_0,sub_0_0,deep_0_0_26
case_572,main_0,sub_0_0,deep_0_0_26
case_469,main_0,sub_0_0,deep_0_0_26
case_408,main_0,sub_0_0,deep_0_0_26
case_182,main_0,sub_0_0,deep_0_0_26
case_345,main_0,sub_0_0,deep_0_0_27
case_6,main_0,sub_0_0,deep_0_0_27
case_195,main_0,sub_0_0,deep_0_0_27
case_216,main_0,sub_0_0,deep_0_0_27
case_205,main_0,sub_0_0,deep_0_0_27
case_388,main_0,sub_0_0,deep_0_0_27
case_204,main_0,sub_0_0,deep_0_0_27
case_421,main_0,sub_0_0,deep_0_0_27
case_207,main_0,sub_0_0,deep_0_0_27
case_337,main_0,sub_0_0,deep_0_0_27
case_624,main_0,sub_0_0,deep_0_0_27
case_349,main_0,sub_0_0,deep_0_0_27
case_26,main_0,sub_0_0,deep_0_0_27
case_257,main_0,sub_0_0,deep_0_0_27
case_443,main_0,sub_0_0,deep_0_0_28
case_604,main_0,sub_0_0,deep_0_0_28
case_211,main_0,sub_0_0,deep_0_0_28
case_700,main_0,sub_0_0,deep_0_0_28
case_296,main_0,sub_0_0,deep_0_0_28
case_490,main_0,sub_0_0,deep_0_0_28
case_408,main_0,sub_0_0,deep_0_0_29
case_649,main_0,sub_0_0,deep_0_0_29
case_79,main_0,sub_0_0,deep_0_0_29
case_439,main_0,sub_0_0,deep_0_0_29
case_98,main_0,sub_0_0,deep_0_0_29
case_532,main_0,sub_0_0,deep_0_0_29
case_396,main_0,sub_0_0,deep_0_0_29
case_229,main_0,sub_0_0,deep_0_0_29
case_289,main_0,sub_0_0,deep_0_0_30
case_158,main_0,sub_0_0,deep_0_0_30
case_755,main_0,sub_0_0,deep_0_0_30
case_549,main_0,sub_0_0,deep_0_0_30
case_601,main_0,sub_0_0,deep_0_0_30
case_62,main_0,sub_0_0,deep_0_0_30
case_181,main_0,sub_0_0,deep_0_0_30
case_65,main_0,sub_0_0,deep_0_0_30
case_248,main_0,sub_0_0,deep_0_0_31
case_483,main_0,sub_0_0,deep_0_0_31
case_417,main_0,sub_0_0,deep_0_0_31
case_625,main_0,sub_0_0,deep_0_0_31
case_569,main_0,sub_0_0,deep_0_0_31
case_144,main_0,sub_0_0,deep_0_0_31
case_685,main_0,sub_0_0,deep_0_0_32
case_253,main_0,sub_0_0,deep_0_0_32
case_485,main_0,sub_0_0,deep_0_0_32
case_587,main_0,sub_0_0,deep_0_0_32
case_459,main_0,sub_0_0,deep_0_0_32
case_189,main_0,sub_0_0,deep_0_0_32
case_773,main_0,sub_0_0,deep_0_0_32
case_417,main_0,sub_0_0,deep_0_0_32
case_612,main_0,sub_0_0,deep_0_0_32
case_65,main_0,sub_0_0,deep_0_0_32
case_56,main_0,sub_0_0,deep_0_0_32
case_67,main_0,sub_0_0,deep_0_0_32
case_719,main_0,sub_0_0,deep_0_0_33
case_334,main_0,sub_0_0,deep_0_0_33
case_321,main_0,sub_0_0,deep_0_0_33
case_365,main_0,sub_0_0,deep_0_0_33
case_708,main_0,sub_0_0,deep_0_0_34
case_366,main_0,sub_0_0,deep_0_0_34
case_288,main_0,sub_0_0,deep_0_0_34
case_627,main_0,sub_0_0,deep_0_0_34
case_5,main_0,sub_0_0,deep_0_0_34
case_363,main_0,sub_0_0,deep_0_0_34
case_86,main_0,sub_0_0,deep_0_0_34
case_457,main_0,sub_0_0,deep_0_0_34
case_269,main_0,sub_0_0,deep_0_0_34
case_278,main_0,sub_0_0,deep_0_0_34
case_515,main_0,sub_0_0,deep_0_0_34
case_651,main_0,sub_0_0,deep_0_0_34
case_58,main_0,sub_0_0,deep_0_0_34
case_670,main_0,sub_0_0,deep_0_0_34
case_320,main_0,sub_0_0,deep_0_0_34
case_283,main_0,sub_0_0,deep_0_0_34
case_346,main_0,sub_0_0,deep_0_0_34
case_691,main_0,sub_0_0,deep_0_0_34
case_406,main_0,sub_0_0,deep_0_0_35
case_690,main_0,sub_0_0,deep_0_0_35
case_289,main_0,sub_0_0,deep_0_0_35
case_722,main_0,sub_0_0,deep_0_0_35
case_394,main_0,sub_0_0,deep_0_0_35
case_676,main_0,sub_0_0,deep_0_0_35
case_204,main_0,sub_0_0,deep_0_0_35
case_300,main_0,sub_0_0,deep_0_0_35
case_381,main_0,sub_0_0,deep_0_0_35
case_335,main_0,sub_0_0,deep_0_0_35
case_30,main_0,sub_0_0,deep_0_0_35
case_426,main_0,sub_0_0,deep_0_0_35
case_319,main_0,sub_0_0,deep_0_0_35
case_564,main_0,sub_0_0,deep_0_0_35
case_443,main_0,sub_0_0,deep_0_0_36
case_134,main_0,sub_0_0,deep_0_0_36
case_222,main_0,sub_0_0,deep_0_0_36
case_574,main_0,sub_0_0,deep_0_0_36
case_6,main_0,sub_0_0,deep_0_0_37
